Data,Data2,Data3,Ano,Quarter,Tipo,Penetração
Q4-2003,2003-Q4,Q4,2003,Q4,Fixa,4.81
Q2-2004,2004-Q2,2004-Q2,2004,Q2,Fixa,6.27
Q4-2004,2004-Q4,Q4,2004,Q4,Fixa,7.9
Q2-2005,2005-Q2,2005-Q2,2005,Q2,Fixa,9.71
Q4-2005,2005-Q4,Q4,2005,Q4,Fixa,11.05
Q2-2006,2006-Q2,2006-Q2,2006,Q2,Fixa,12.28
Q4-2006,2006-Q4,Q4,2006,Q4,Fixa,13.46
Q2-2007,2007-Q2,2007-Q2,2007,Q2,Fixa,14.24
Q4-2007,2007-Q4,Q4,2007,Q4,Fixa,14.27
Q2-2008,2008-Q2,2008-Q2,2008,Q2,Fixa,14.76
Q4-2008,2008-Q4,Q4,2008,Q4,Fixa,15.94
Q2-2009,2009-Q2,2009-Q2,2009,Q2,Fixa,17.12
Q4-2009,2009-Q4,Q4,2009,Q4,Fixa,18.29
Q2-2010,2010-Q2,2010-Q2,2010,Q2,Fixa,19.36
Q4-2010,2010-Q4,Q4,2010,Q4,Fixa,20.27
Q2-2011,2011-Q2,2011-Q2,2011,Q2,Fixa,20.66
Q4-2011,2011-Q4,Q4,2011,Q4,Fixa,21.34
Q2-2012,2012-Q2,2012-Q2,2012,Q2,Fixa,21.93
Q4-2012,2012-Q4,Q4,2012,Q4,Fixa,22.74
Q2-2013,2013-Q2,2013-Q2,2013,Q2,Fixa,23.43
Q4-2013,2013-Q4,Q4,2013,Q4,Fixa,24.52
Q2-2014,2014-Q2,2014-Q2,2014,Q2,Fixa,25.68
Q4-2014,2014-Q4,Q4,2014,Q4,Fixa,27.43
Q2-2015,2015-Q2,2015-Q2,2015,Q2,Fixa,28.81
Q4-2015,2015-Q4,Q4,2015,Q4,Fixa,30.27
Q2-2016,2016-Q2,2016-Q2,2016,Q2,Fixa,31.4
Q4-2016,2016-Q4,Q4,2016,Q4,Fixa,32.59
Q2-2017,2017-Q2,2017-Q2,2017,Q2,Fixa,33.45
Q4-2017,2017-Q4,Q4,2017,Q4,Fixa,34.57
Q2-2018,2018-Q2,2018-Q2,2018,Q2,Fixa,35.49
Q4-2018,2018-Q4,Q4,2018,Q4,Fixa,36.62
Q2-2019,2019-Q2,2019-Q2,2019,Q2,Fixa,37.43
Q4-2019,2019-Q4,Q4,2019,Q4,Fixa,38.32
Q2-2020,2020-Q2,2020-Q2,2020,Q2,Fixa,39.19
Q4-2020,2020-Q4,Q4,2020,Q4,Fixa,40.07
Q2-2021,2021-Q2,2021-Q2,2021,Q2,Fixa,40.74
Q4-2021,2021-Q4,Q4,2021,Q4,Fixa,41.45
Q2-2022,2022-Q2,2022-Q2,2022,Q2,Fixa,42.12
Q4-2022,2022-Q4,Q4,2022,Q4,Fixa,42.72
Q2-2023,2023-Q2,2023-Q2,2023,Q2,Fixa,43.27
Q4-2023,2023-Q4,Q4,2023,Q4,Fixa,43.5
Q2-2024,2024-Q2,2024-Q2,2024,Q2,Fixa,43.97
Q4-2009,2009-Q4,Q4,2009,Q4,Móvel,21.55
Q2-2010,2010-Q2,2010-Q2,2010,Q2,Móvel,21.8
Q4-2010,2010-Q4,Q4,2010,Q4,Móvel,24.27
Q2-2011,2011-Q2,2011-Q2,2011,Q2,Móvel,24.41
Q4-2011,2011-Q4,Q4,2011,Q4,Móvel,27.66
Q2-2012,2012-Q2,2012-Q2,2012,Q2,Móvel,27.34
Q4-2012,2012-Q4,Q4,2012,Q4,Móvel,32.99
Q2-2013,2013-Q2,2013-Q2,2013,Q2,Móvel,32.48
Q4-2013,2013-Q4,Q4,2013,Q4,Móvel,37.21
Q2-2014,2014-Q2,2014-Q2,2014,Q2,Móvel,37.48
Q4-2014,2014-Q4,Q4,2014,Q4,Móvel,48.96
Q2-2015,2015-Q2,2015-Q2,2015,Q2,Móvel,50.46
Q4-2015,2015-Q4,Q4,2015,Q4,Móvel,53.19
Q2-2016,2016-Q2,2016-Q2,2016,Q2,Móvel,54.69
Q4-2016,2016-Q4,Q4,2016,Q4,Móvel,62.54
Q2-2017,2017-Q2,2017-Q2,2017,Q2,Móvel,64.89
Q4-2017,2017-Q4,Q4,2017,Q4,Móvel,68.81
Q2-2018,2018-Q2,2018-Q2,2018,Q2,Móvel,69.51
Q4-2018,2018-Q4,Q4,2018,Q4,Móvel,73.28
Q2-2019,2019-Q2,2019-Q2,2019,Q2,Móvel,75.5
Q4-2019,2019-Q4,Q4,2019,Q4,Móvel,78.18
Q2-2020,2020-Q2,2020-Q2,2020,Q2,Móvel,76.57
Q4-2020,2020-Q4,Q4,2020,Q4,Móvel,79.37
Q2-2021,2021-Q2,2021-Q2,2021,Q2,Móvel,81.77
Q4-2021,2021-Q4,Q4,2021,Q4,Móvel,87.57
Q2-2022,2022-Q2,2022-Q2,2022,Q2,Móvel,91.33
Q4-2022,2022-Q4,Q4,2022,Q4,Móvel,93.93
Q2-2023,2023-Q2,2023-Q2,2023,Q2,Móvel,97.23
Q4-2023,2023-Q4,Q4,2023,Q4,Móvel,98.85
Q2-2024,2024-Q2,2024-Q2,2024,Q2,Móvel,102.19
