geo,Pais,2005,2020
AT,Austria,6732,8459
BE,Bélgica,7610,9836
BG,Bulgária,2461,4557
CY,Chipre,7381,8725
CZ,Chequia,2444,4155
DE,Alemanha,8445,10087
DK,Dinamarca,7194,10144
EE,Estónia,3240,5795
EL,Grécia,7442,7285
ES,Espanha,7874,9867
FI,Finlândia,6614,9316
FR,França,7339,8365
HR,Croácia,4983,7097
HU,Hungria,2073,10796
IE,Irlanda,8520,11634
IT,Itália,8512,10286
LT,Lituânia,1776,5853
LU,Luxemburgo,15611,17366
LV,Letónia,1810,4098
MT,Malta,2596,2226
NL,Países Baixos,7513,10156
NO,Noruega,7633,12138
PL,Polónia,3341,5612
PT,Portugal,5560,9600
RO,Roménia,832,4787
SI,Eslovénia,5483,6363
SK,Eslováquia,3600,5236
TR,Turquia,2744,4624
