Pais,2005,2020,Trend,Var
Alemanha,11.175,11.2343,A,0.53
Austria,13.0374,12.0271,D,-7.75
Bélgica,13.4547,15.8956,A,18.14
Bulgária,31.5345,24.5562,D,-22.13
Chipre,15.0783,15.3202,A,1.6
Croácia,27.1005,20.9926,D,-22.54
Dinamarca,11.9358,12.3398,A,3.38
Eslováquia,24.5425,20.209,D,-17.66
Eslovénia,16.6604,13.7073,D,-17.73
Espanha,18.0005,16.9599,D,-5.78
Estónia,22.4926,18.5715,D,-17.43
Finlândia,12.6688,14.4424,A,14
França,13.3866,14.2813,A,6.68
Grécia,15.4991,19.9476,A,28.7
Hungria,22.5662,16.2967,D,-27.78
Irlanda,12.3474,12.1119,D,-1.91
Itália,18.6173,20.2991,A,9.03
Letónia,29.1879,20.4814,D,-29.83
Lituânia,33.7635,23.52,D,-30.34
Luxemburgo,9.3409,9.4239,A,0.89
Malta,21.2613,19.7693,D,-7.02
Polónia,25.3089,24.6464,D,-2.62
Portugal,15.5405,12.923,D,-16.84
Chequia,20.6161,20.6981,A,0.4
Noruega,11.6887,11.8572,A,1.44
Países Baixos,10.5175,11.5749,A,10.05
Turquia,26.1102,20.3989,D,-21.87
Roménia,44.2254,27.6513,D,-37.48
