Ano,Nascimentos
1960,213895
1961,217516
1962,220200
1963,212152
1964,217136
1965,210299
1966,206940
1967,202061
1968,194962
1969,189739
1970,180690
1971,181243
1972,174685
1973,172324
1974,171979
1975,179648
1976,186712
1977,181064
1978,167467
1979,160311
1980,158309
1981,152071
1982,151002
1983,144296
1984,142783
1985,130450
1986,126715
1987,123179
1988,122093
1989,118483
1990,116321
1991,116299
1992,114924
1993,113960
1994,109227
1995,107097
1996,110261
1997,112933
1998,113384
1999,116002
2000,120008
2001,112774
2002,114383
2003,112515
2004,109298
2005,109399
2006,105449
2007,102492
2008,104594
2009,99491
2010,101381
2011,96855
2012,89841
2013,82787
2014,82367
2015,85500
2016,87126
2017,86154
2018,87020
2019,86579
2020,84530
2021,79582
2022,83671
2023,85699
